Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1799.5946
FDW14,OUT017,1274.4694
NCN55,OUT010,385.41525
FDQ58,OUT017,2782.4744
FDY38,OUT027,6583.0396
FDH56,OUT046,1779.8168
FDL48,OUT018,477.90942
FDC48,OUT027,1992.562
FDN33,OUT045,1336.1473
FDA36,OUT017,2885.6875
FDT44,OUT017,1814.0339
FDQ56,OUT045,1525.5586
NCC54,OUT019,634.00586
FDU11,OUT049,2516.938
DRL59,OUT013,792.64996
FDM24,OUT049,2534.9685
FDI57,OUT045,4012.1335
DRC12,OUT018,2925.627
NCM42,OUT027,2605.0107
FDA46,OUT010,583.21173
FDA31,OUT013,2910.1025
NCJ31,OUT035,3469.036
FDG52,OUT046,766.3064
NCL19,OUT019,388.62112
FDS10,OUT035,2273.3623
FDX22,OUT010,245.43141
NCF19,OUT035,473.27307
NCE06,OUT046,2182.696
DRC27,OUT046,3779.525
FDE21,OUT035,2711.0603
NCR42,OUT019,-76.26084
FDX51,OUT018,2415.7124
NCR06,OUT018,409.585
FDU31,OUT027,4548.1826
FDU59,OUT017,2696.1672
FDR03,OUT027,5614.355
FDS49,OUT027,2543.898
FDD48,OUT010,436.4701
NCF18,OUT017,2997.1858
NCD43,OUT027,2157.8047
NCD54,OUT018,1492.7406
FDY19,OUT010,244.69331
NCY54,OUT017,2389.585
NCL19,OUT018,2373.2844
FDP23,OUT010,432.5189
FDC26,OUT013,1837.0304
FDR14,OUT010,93.472275
NCS41,OUT035,2670.7742
FDF41,OUT035,2940.995
FDU34,OUT046,1939.358
DRH11,OUT046,963.46826
FDM03,OUT013,2230.5864
FDS31,OUT017,3034.0688
FDJ20,OUT017,1912.1583
FDV44,OUT027,5156.655
FDG02,OUT049,2513.7783
FDA09,OUT013,3410.9983
FDT04,OUT013,541.0147
FDL58,OUT019,457.7031
FDE52,OUT045,1360.8281
FDW12,OUT035,2611.344
FDL51,OUT017,3332.5422
NCY42,OUT027,3430.4006
FDR07,OUT017,1326.4623
FDN40,OUT045,2319.6404
FDB35,OUT027,2446.609
FDA22,OUT017,2519.3694
NCL06,OUT046,4256.1587
FDI35,OUT013,3619.2275
NCW42,OUT045,3595.0217
NCX06,OUT049,2821.8435
FDC37,OUT027,3525.7703
FDZ14,OUT018,1875.8191
DRG49,OUT049,5315.941
NCG06,OUT045,2916.428
DRC36,OUT045,2678.8547
FDV21,OUT019,514.43036
FDB53,OUT046,2926.0828
DRP47,OUT019,545.63226
FDA14,OUT013,2457.3208
DRC24,OUT035,2697.172
FDW21,OUT018,1865.6221
NCH29,OUT046,2254.2642
FDU58,OUT013,3153.103
FDY27,OUT017,3150.7317
FDV56,OUT035,1361.6146
FDT59,OUT046,3814.1204
FDB23,OUT046,3228.2842
FDR49,OUT045,714.8331
FDB03,OUT010,503.9579
FDN39,OUT045,2867.6848
FDX02,OUT027,6326.704
FDQ16,OUT027,2218.837
FDU35,OUT018,1898.986
NCT29,OUT013,1811.2058
FDZ27,OUT046,641.1674
FDN57,OUT017,1352.1605
FDA03,OUT018,2458.106
FDZ36,OUT045,3350.669
NCU05,OUT013,842.55743
FDT39,OUT018,2348.5676
FDK60,OUT017,1725.9169
FDZ25,OUT017,3005.7441
FDG12,OUT046,2304.5674
DRB01,OUT019,568.3698
NCC43,OUT027,6344.417
FDX13,OUT019,624.07654
FDM22,OUT049,942.54694
FDJ03,OUT027,1484.8306
FDU14,OUT018,4239.325
FDB33,OUT010,437.99362
FDP27,OUT046,3860.6067
FDO38,OUT010,291.7619
FDE28,OUT027,6049.7334
FDO27,OUT035,1554.0818
DRL23,OUT027,1965.6177
FDS28,OUT046,842.53375
FDX24,OUT013,1349.0887
FDZ02,OUT035,1402.2734
FDL46,OUT045,1637.4752
FDS60,OUT027,5853.274
NCO06,OUT017,350.54553
FDO16,OUT035,1494.2122
FDC60,OUT049,2360.0957
FDA48,OUT018,3907.264
FDZ36,OUT027,4969.3027
FDK27,OUT045,1736.2485
FDW23,OUT018,570.8616
FDM14,OUT018,1709.0168
FDM14,OUT013,1664.3335
FDW60,OUT018,2599.8042
FDE21,OUT013,1498.3673
NCM42,OUT035,1644.8257
FDY59,OUT010,200.32773
DRI49,OUT049,1403.0499
FDT28,OUT019,258.37302
FDQ22,OUT018,480.02667
FDR60,OUT049,1153.0847
FDC50,OUT019,237.38159
FDV24,OUT013,2336.2786
DRF48,OUT010,-522.19226
FDQ47,OUT046,856.8612
DRN36,OUT049,2058.8574
NCY06,OUT035,2691.066
FDE52,OUT035,1897.7473
NCB54,OUT045,2134.0972
NCF31,OUT035,2163.9778
FDJ08,OUT027,4579.4043
NCC07,OUT017,1336.4185
NCD19,OUT027,1568.6127
FDL46,OUT049,1579.788
FDM20,OUT045,4700.5522
NCI06,OUT010,530.378
DRM11,OUT035,4628.227
NCH07,OUT018,2107.1355
FDS23,OUT013,2030.1088
FDO49,OUT018,633.0859
FDS35,OUT049,941.216
DRK39,OUT045,1423.4802
DRI39,OUT049,1019.645
FDV04,OUT017,2225.847
NCN14,OUT035,2548.6912
FDH08,OUT013,3162.1646
FDS20,OUT046,3899.6868
FDV40,OUT049,1179.2257
FDZ48,OUT010,215.6066
FDS24,OUT027,2205.083
FDK44,OUT049,2433.6829
FDS48,OUT045,2605.0354
FDK26,OUT010,1135.6555
FDD23,OUT045,3117.2446
NCH54,OUT017,2261.0005
NCP14,OUT010,335.32196
FDM60,OUT010,153.9127
FDV24,OUT017,2457.1184
FDH08,OUT018,2970.0342
FDS12,OUT027,3395.4355
FDR39,OUT027,5394.0156
FDP12,OUT027,963.02936
DRF60,OUT027,5291.0854
FDC09,OUT035,1901.6272
FDF50,OUT018,3680.0725
FDG28,OUT035,3518.527
NCE19,OUT017,864.00775
NCM53,OUT010,135.04555
NCN18,OUT049,1816.1508
FDF32,OUT035,3148.649
FDF11,OUT013,4289.7393
DRI59,OUT049,4457.4795
NCG54,OUT035,2999.7126
FDM44,OUT046,1620.8068
FDT57,OUT018,2710.5537
FDV24,OUT046,2025.4292
FDI50,OUT019,760.26526
FDS09,OUT035,785.5411
NCC31,OUT027,3209.7275
FDQ07,OUT019,644.2639
FDC22,OUT017,3028.988
